Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
23.000	26.500	0.27215	3.6745	171.82	269.20	5.0396	0.79067	1.3488	461.41	0.41071	2.5309e-05	0.042111	supercritical
23.000	26.550	0.27255	3.6691	171.76	269.17	5.0388	0.79073	1.3490	461.71	0.40856	2.5328e-05	0.042145	supercritical
23.000	26.600	0.27295	3.6637	171.69	269.14	5.0381	0.79080	1.3492	462.01	0.40643	2.5347e-05	0.042180	supercritical
23.000	26.650	0.27335	3.6583	171.62	269.12	5.0374	0.79086	1.3494	462.30	0.40430	2.5366e-05	0.042215	supercritical
23.000	26.700	0.27375	3.6530	171.55	269.09	5.0367	0.79092	1.3496	462.60	0.40217	2.5385e-05	0.042250	supercritical
23.000	26.750	0.27414	3.6477	171.49	269.06	5.0360	0.79098	1.3498	462.90	0.40005	2.5404e-05	0.042284	supercritical
23.000	26.800	0.27454	3.6424	171.42	269.03	5.0353	0.79104	1.3500	463.20	0.39793	2.5424e-05	0.042319	supercritical
23.000	26.850	0.27494	3.6372	171.35	269.01	5.0346	0.79110	1.3502	463.49	0.39582	2.5443e-05	0.042354	supercritical
23.000	26.900	0.27534	3.6319	171.28	268.98	5.0339	0.79116	1.3504	463.79	0.39371	2.5462e-05	0.042389	supercritical
23.000	26.950	0.27573	3.6267	171.22	268.95	5.0332	0.79122	1.3506	464.09	0.39161	2.5481e-05	0.042424	supercritical
23.000	27.000	0.27613	3.6215	171.15	268.93	5.0325	0.79128	1.3508	464.39	0.38951	2.5500e-05	0.042458	supercritical
23.000	27.050	0.27653	3.6163	171.08	268.90	5.0318	0.79135	1.3510	464.68	0.38742	2.5520e-05	0.042493	supercritical
23.000	27.100	0.27692	3.6111	171.01	268.88	5.0311	0.79141	1.3512	464.98	0.38534	2.5539e-05	0.042528	supercritical
23.000	27.150	0.27731	3.6060	170.95	268.85	5.0304	0.79147	1.3514	465.28	0.38325	2.5558e-05	0.042563	supercritical
23.000	27.200	0.27771	3.6009	170.88	268.82	5.0297	0.79153	1.3516	465.58	0.38118	2.5577e-05	0.042597	supercritical
23.000	27.250	0.27810	3.5958	170.81	268.80	5.0290	0.79159	1.3518	465.88	0.37910	2.5596e-05	0.042632	supercritical
23.000	27.300	0.27850	3.5907	170.75	268.77	5.0283	0.79165	1.3520	466.18	0.37703	2.5616e-05	0.042667	supercritical
23.000	27.350	0.27889	3.5857	170.68	268.75	5.0276	0.79171	1.3522	466.47	0.37497	2.5635e-05	0.042702	supercritical
23.000	27.400	0.27928	3.5806	170.61	268.72	5.0269	0.79177	1.3524	466.77	0.37291	2.5654e-05	0.042736	supercritical
23.000	27.450	0.27967	3.5756	170.55	268.70	5.0262	0.79183	1.3526	467.07	0.37086	2.5673e-05	0.042771	supercritical
